pclass,survived,sex,age,fare,embarked
1,1,0,29,211.34,S
1,1,1,1,151.55,S
1,0,0,2,151.55,S
1,0,1,30,151.55,S
1,0,0,25,151.55,S
1,1,1,48,26.55,S
1,1,0,63,77.96,S
1,0,1,39,0.0,S
1,1,0,53,51.48,S
1,0,1,71,49.5,C
1,0,1,47,227.52,C
1,1,0,18,227.52,C
1,1,0,24,69.3,C
1,1,0,26,78.85,S
1,1,1,80,30.0,S
1,0,1,30,25.92,S
1,0,1,24,247.52,C
1,1,0,50,247.52,C
1,1,0,32,76.29,C
1,0,1,36,75.24,C
1,1,1,37,52.55,S
1,1,0,47,52.55,S
1,1,1,26,30.0,C
1,1,0,42,227.52,C
1,1,0,29,221.78,S
1,0,1,25,26.0,C
1,1,1,25,91.08,C
1,1,0,19,91.08,C
1,1,0,35,135.63,S
1,1,1,28,26.55,S
1,0,1,45,35.5,S
1,1,1,40,31.0,C
1,1,0,30,164.87,S
1,1,0,58,26.55,S
1,0,1,42,26.55,S
1,1,0,45,262.38,C
1,1,0,22,55.0,S
1,1,1,30,26.55,S
1,0,1,41,30.5,S
1,0,1,48,50.5,C
1,0,1,30,39.6,C
1,1,0,44,27.72,C
1,1,0,59,51.48,S
1,1,0,60,76.29,C
1,1,0,41,134.5,C
1,0,1,45,26.55,S
1,0,1,30,31.0,S
1,1,1,42,26.29,S
1,1,0,53,27.45,C
1,1,1,36,512.33,C
1,1,0,58,512.33,C
1,0,1,33,5.0,S
1,0,1,28,47.1,S
1,0,1,17,47.1,S
1,1,1,11,120.0,S
1,1,0,14,120.0,S
1,1,1,36,120.0,S
1,1,0,36,120.0,S
1,0,1,49,26.0,S
1,1,0,30,27.72,C
1,0,1,36,78.85,S
1,1,0,76,78.85,S
1,0,1,46,61.18,S
1,1,0,47,61.18,S
1,1,1,27,53.1,S
1,1,0,33,53.1,S
1,1,0,36,262.38,C
1,1,0,30,86.5,S
1,1,1,45,29.7,C
1,1,0,30,55.0,S
1,0,1,30,0.0,S
1,0,1,27,136.78,C
1,1,0,26,136.78,C
1,1,0,22,151.55,S
1,0,1,30,52.0,S
1,0,1,47,25.59,S
1,1,0,39,83.16,C
1,0,1,37,83.16,C
1,1,0,64,83.16,C
1,1,0,55,25.7,S
1,0,1,30,26.55,S
1,0,1,70,71.0,S
1,1,0,36,71.0,S
1,1,0,64,26.55,S
1,0,1,39,71.28,C
1,1,0,38,71.28,C
1,1,1,51,26.55,S
1,1,1,27,30.5,S
1,1,0,33,151.55,S
1,0,1,31,52.0,S
1,1,0,27,52.0,S
1,1,1,31,57.0,S
1,1,0,17,57.0,S
1,1,1,53,81.86,S
1,1,1,4,81.86,S
1,1,0,54,81.86,S
1,0,1,50,106.42,C
1,1,0,27,247.52,C
1,1,0,48,106.42,C
1,1,0,48,39.6,C
1,1,1,49,56.93,C
1,0,1,39,29.7,C
1,1,0,23,83.16,C
1,1,0,38,227.52,C
1,1,0,54,78.27,C
1,0,0,36,31.68,C
1,0,1,30,221.78,S
1,1,0,30,31.68,S
1,1,0,30,110.88,C
1,1,1,36,26.39,S
1,0,1,30,27.75,C
1,1,0,24,263.0,S
1,1,0,28,263.0,S
1,1,0,23,263.0,S
1,0,1,19,263.0,S
1,0,1,64,263.0,S
1,1,0,60,263.0,S
1,1,0,30,56.93,C
1,0,1,30,26.55,S
1,1,1,50,133.65,S
1,1,1,43,27.72,C
